kpi,count,p10,p25,p50,p75,p90,mean,std,min,max
return_on_equity_pct,91,8.370767521615225,11.671358898635695,16.716051794688113,26.00564274915637,48.27674122146251,123.89715185463497,637.1447803783332,-5.334926929972293,4744.047619047619
return_on_capital_employed_pct,90,3.494279105844552,10.666690570370076,19.47978420417879,33.558908592502895,119.90730253768886,182.6795689206761,785.831596216506,1.1203978526306713,5640.87982832618
net_profit_margin_pct,92,4.619194610984474,7.24774515132234,14.208254232549017,20.34900889030226,29.24548245324143,20.015917582704326,45.182887413385615,-3.9798524404086266,432.7262044653349
operating_profit_margin_pct,91,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.668914632997186,27.512220711640186,-13.729168991026642,102.02531365231931
debt_to_equity,91,0.008129006675038002,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825,1.6688322682398915,2.863032616687874,0.0,14.867419925542423
interest_coverage,91,1.6106611743349857,3.179969072942309,11.355507351168956,58.089466998549725,192.2895238095238,126.12959168132556,485.94073384579076,0.3660986540179259,3764.5
asset_turnover,91,0.07325702420450533,0.21198146242264468,0.6788531553398058,1.134077393208722,1.6559406621205455,3.504463460674189,15.847510559362842,0.012805202156520298,125.88819875776397
fcf_conversion_pct,90,-124.37748532087413,-16.855298554701534,19.67621526958821,46.53599137020093,74.13510532921835,-18.431081996737916,151.064862194567,-853.2520325203253,112.2503328894807
revenue_cagr_5yr,91,6.447080048592069,8.440832121892061,11.836370175898114,17.183239296281414,21.08864867789759,12.982348405115287,7.349699151552715,-5.136730668466605,36.30691600183056
pat_cagr_5yr,84,4.3594698195265895,9.86465271466127,16.43102279345252,23.77712800024647,39.277589291381965,21.20577452512004,21.52167439458578,-22.397399063784775,120.69250867467933
